mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29.76412706375122,0.48907330514734976,0.045964288711547854,0.005393137115759397,3,,1,5,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
30.36682152748108,0.9171989077168424,0.04048938751220703,0.005978887719599035,3,,1,10,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
30.82389941215515,0.20534298204339058,0.039605140686035156,0.004234059337958916,3,,2,2,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
31.035633182525636,0.11013296498755137,0.056618690490722656,0.007156609836788918,3,,2,5,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
31.080452537536623,0.7753598163750753,0.04917058944702148,0.0022556633546094466,3,,2,10,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
29.712062454223634,0.6961647513324942,0.0415618896484375,0.004465646545720651,3,,4,2,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
30.54455828666687,1.0095276518025533,0.040830469131469725,0.00207184488997256,3,,4,5,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
30.875809621810912,0.5475947670670779,0.04209756851196289,0.004418887368419673,3,,4,10,"{'max_depth': 3, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2261,0.2282,0.2277,0.2295,0.2315,0.2286,0.001813284313062907,55
33.391927814483644,0.605357615367543,0.04242639541625977,0.004947777228760783,6,5,1,2,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.37458472251892,0.6474140843245282,0.04208064079284668,0.002898278734676428,6,5,1,5,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
